long,lat,hole,group,name,bundesland
10.19113690277905,53.72299476403796,FALSE,0.1,Hamburg,2
10.182096824348678,53.71002525433905,FALSE,0.1,Hamburg,2
10.18181205644544,53.709620231913135,FALSE,0.1,Hamburg,2
10.158788991265608,53.690799074249334,FALSE,0.1,Hamburg,2
10.142848472977098,53.67979270131177,FALSE,0.1,Hamburg,2
10.142200027789993,53.67951231760278,FALSE,0.1,Hamburg,2
10.142414108659239,53.67924337284751,FALSE,0.1,Hamburg,2
10.144675036434537,53.67663529731269,FALSE,0.1,Hamburg,2
10.176386292251806,53.66323593898978,FALSE,0.1,Hamburg,2
10.22161044422162,53.63366827488074,FALSE,0.1,Hamburg,2
10.217639874085378,53.62581520255063,FALSE,0.1,Hamburg,2
10.195093424791855,53.60776405478096,FALSE,0.1,Hamburg,2
10.19657342648055,53.59915070288009,FALSE,0.1,Hamburg,2
10.19531249890401,53.58933543231248,FALSE,0.1,Hamburg,2
10.194548520723924,53.584112917187575,FALSE,0.1,Hamburg,2
10.16710759685019,53.582559411998375,FALSE,0.1,Hamburg,2
10.162073315834862,53.58529534683676,FALSE,0.1,Hamburg,2
10.152143435236804,53.5768662158537,FALSE,0.1,Hamburg,2
10.148071136125443,53.56320536498194,FALSE,0.1,Hamburg,2
10.148916671755437,53.559406776057905,FALSE,0.1,Hamburg,2
10.161787667380674,53.52651818615827,FALSE,0.1,Hamburg,2
10.16426978556823,53.52142084997505,FALSE,0.1,Hamburg,2
10.220866009062865,53.49932107932225,FALSE,0.1,Hamburg,2
10.233356419461277,53.49497241158554,FALSE,0.1,Hamburg,2
10.239078894889696,53.48298788853684,FALSE,0.1,Hamburg,2
10.304929131153997,53.4427152743518,FALSE,0.1,Hamburg,2
10.308862553545763,53.445048993132396,FALSE,0.1,Hamburg,2
10.30883766458577,53.45076443672916,FALSE,0.1,Hamburg,2
10.31476950029545,53.45068364271077,FALSE,0.1,Hamburg,2
10.318789994586023,53.45046496337612,FALSE,0.1,Hamburg,2
10.321380393332447,53.4501991416029,FALSE,0.1,Hamburg,2
10.324258512754884,53.449520305610406,FALSE,0.1,Hamburg,2
10.315459538009463,53.44052975547104,FALSE,0.1,Hamburg,2
10.308145164003673,53.433544890362725,FALSE,0.1,Hamburg,2
10.291037726596437,53.4266061870692,FALSE,0.1,Hamburg,2
10.283720929688595,53.42442772568403,FALSE,0.1,Hamburg,2
10.265808574988712,53.4203149216244,FALSE,0.1,Hamburg,2
10.262879449223945,53.41948253009554,FALSE,0.1,Hamburg,2
10.259395721618702,53.41830746786202,FALSE,0.1,Hamburg,2
10.257131154791498,53.41704486128398,FALSE,0.1,Hamburg,2
10.255185337330285,53.41528856079132,FALSE,0.1,Hamburg,2
10.251645906284443,53.410752045724585,FALSE,0.1,Hamburg,2
10.250780240822822,53.40957302204781,FALSE,0.1,Hamburg,2
10.243304169623297,53.39943828278116,FALSE,0.1,Hamburg,2
10.240564646907574,53.39736551575751,FALSE,0.1,Hamburg,2
10.237445502126418,53.39595690890504,FALSE,0.1,Hamburg,2
10.23454797139467,53.39523173318819,FALSE,0.1,Hamburg,2
10.229948967298231,53.394925138888475,FALSE,0.1,Hamburg,2
10.178818999145705,53.396195278021125,FALSE,0.1,Hamburg,2
10.176442019439078,53.39636879950007,FALSE,0.1,Hamburg,2
10.175885363557986,53.39641226311978,FALSE,0.1,Hamburg,2
10.172106702227124,53.39703134316896,FALSE,0.1,Hamburg,2
10.168249495333743,53.398081482023656,FALSE,0.1,Hamburg,2
10.164464619711351,53.39948218807584,FALSE,0.1,Hamburg,2
10.108492373671432,53.426942870908164,FALSE,0.1,Hamburg,2
10.105174114040906,53.429511493825814,FALSE,0.1,Hamburg,2
10.096520394618764,53.44113039412338,FALSE,0.1,Hamburg,2
10.085517929320954,53.450682735776226,FALSE,0.1,Hamburg,2
10.082593066620493,53.45271284458224,FALSE,0.1,Hamburg,2
10.052705719070952,53.46475795046257,FALSE,0.1,Hamburg,2
10.05128466459223,53.463818177577224,FALSE,0.1,Hamburg,2
10.042190717288829,53.45642462558329,FALSE,0.1,Hamburg,2
10.043209574154949,53.45256411829239,FALSE,0.1,Hamburg,2
10.05069586178969,53.44925754051778,FALSE,0.1,Hamburg,2
10.045851183939497,53.44462059000376,FALSE,0.1,Hamburg,2
10.016445807796007,53.4275323821088,FALSE,0.1,Hamburg,2
9.985296041152655,53.416208252505996,FALSE,0.1,Hamburg,2
9.975142926437172,53.41361304027261,FALSE,0.1,Hamburg,2
9.97341820470037,53.413183278464054,FALSE,0.1,Hamburg,2
9.916411499294986,53.42430384318096,FALSE,0.1,Hamburg,2
9.91882865077812,53.433796611106416,FALSE,0.1,Hamburg,2
9.918835377530769,53.434425718099945,FALSE,0.1,Hamburg,2
9.91552503188887,53.44230060387533,FALSE,0.1,Hamburg,2
9.914701190605903,53.44425585663621,FALSE,0.1,Hamburg,2
9.903486397484368,53.45647813492233,FALSE,0.1,Hamburg,2
9.898193864268116,53.45702755263184,FALSE,0.1,Hamburg,2
9.872858367717432,53.44187504338112,FALSE,0.1,Hamburg,2
9.86575675923212,53.431251944294615,FALSE,0.1,Hamburg,2
9.86349922804063,53.43023374896875,FALSE,0.1,Hamburg,2
9.861181859989287,53.42919721725976,FALSE,0.1,Hamburg,2
9.84945413104748,53.43973152836741,FALSE,0.1,Hamburg,2
9.798085010891834,53.47072408005059,FALSE,0.1,Hamburg,2
9.784195799522461,53.49207763346566,FALSE,0.1,Hamburg,2
9.785201701587676,53.499704142483964,FALSE,0.1,Hamburg,2
